crd_number,sec_number,name,other_names,registration_status,registration_begin_date,firm_size,firm_type,formed_state,formed_date,phone,finra_approved_registration_count,number_of_branches,branch_locations_count,disclosures_count,street,city,state,zip_code,country,latitude,longitude,matched_from_name,match_confidence,phase,scraped_at
42202,49750,"ACCESS INVESTMENTS, INC.","ACCESS INVESTMENTS, INC.",Approved,01/09/1997,Small,Corporation,Oklahoma,10/24/1996,405-848-9836,1,2,1,0,"6440 AVONDALE DRIVE, SUITE 210",OKLAHOMA CITY,OK,73116,UNITED STATES,,,"ACCESS INVESTMENTS, INC.",1.0,3,2026-04-02T01:50:44.077179
22455,39729,"ACCESS SECURITIES, LLC","ACCESS SECURITIES, INC.|ACCESS SECURITIES, LLC",Approved,10/17/1988,Small,Limited Liability Company,Delaware,05/30/2007,203-322-3377,1,3,1,3,140 ELM STREET SUITE 7,NEW CANAAN,CT,06840,UNITED STATES,,,"ACCESS SECURITIES, LLC",1.0,3,2026-04-02T01:48:40.458459
142279,67446,ACCESSALPHA WORLDWIDE LLC,ACCESSALPHA WORLDWIDE LLC,Approved,03/21/2007,Small,Limited Liability Company,Delaware,06/26/2006,847-475-6000,1,2,1,1,444 WEST LAKE STREET,CHICAGO,IL,60606,USA,,,ACCESSALPHA WORLDWIDE LLC,1.0,3,2026-04-02T01:54:26.968710
166498,69217,ACCORD CAPITAL PARTNERS LLC,ACCORD CAPITAL PARTNERS LLC,Approved,08/30/2013,Small,Limited Liability Company,Delaware,10/31/2012,(628) 218-7984,1,2,1,0,240 STOCKTON STREET,SAN FRANCISCO,CA,94108-5324,USA,,,ACCORD CAPITAL PARTNERS LLC,1.0,3,2026-04-02T01:56:47.085110
13452,17356,ACCRUED EQUITIES INC.,ACCRUED EQUITIES INC.,Approved,08/22/1983,Small,Corporation,New York,03/15/1954,631-423-7373,1,3,1,1,150 BROADHOLLOW RD,MELVILLE,NY,11747,UNITED STATES,,,ACCRUED EQUITIES INC.,1.0,3,2026-04-02T01:47:35.023139
41768,49555,"ACE DIVERSIFIED CAPITAL, INC.","ACE DIVERSIFIED CAPITAL, INC.",Approved,07/08/1997,Small,Corporation,California,07/31/1996,626-307-8300,1,3,1,2,"923 EAST VALLEY BLVD.,","SAN GABRIEL,",CA,91776,UNITED STATES,,,"ACE DIVERSIFIED CAPITAL, INC.",1.0,3,2026-04-02T01:50:38.375968
123380,65582,"ACHELOUS PARTNERS, LLC","ACHELOUS PARTNERS, LLC|GMCG, LLC",Approved,03/27/2003,Small,Limited Liability Company,Delaware,03/08/2002,9543259624,1,2,1,0,800 THIRD AVENUE FLOOR 21,NEW YORK CITY,NY,10022,USA,,,"ACHELOUS PARTNERS, LLC",1.0,3,2026-04-02T01:52:44.955960
338859,71431,"ACI CAPITAL MARKETS, LLC","ACI CAPITAL MARKETS, LLC|ACI CAPITAL, LLC",Approved,02/18/2026,Small,Limited Liability Company,Delaware,09/23/2025,212-668-8700,1,3,1,0,"199 WATER STREET, 9TH FLOOR",NEW YORK,NY,10038,UNITED STATES,,,"ACI CAPITAL MARKETS, LLC",1.0,3,2026-04-02T02:01:17.860271
168172,69294,"ACORNS SECURITIES, LLC","ACORNS SECURITIES, LLC",Approved,03/05/2014,Small,Limited Liability Company,Delaware,04/09/2013,8557392859,1,2,1,2,5300 CALIFORNIA AVENUE,IRVINE,CA,92617,USA,,,"ACORNS SECURITIES, LLC",1.0,3,2026-04-02T01:56:54.589432
139049,67185,"ACP SECURITIES, LLC","ACP SECURITIES, LLC",Approved,05/23/2006,Small,Limited Liability Company,Florida,11/04/2005,305-670-4180,1,6,1,4,1200 BRICKELL AVENUE,MIAMI,FL,33131,USA,,,"ACP SECURITIES, LLC",1.0,3,2026-04-02T01:54:10.159338
170074,69408,ACQUIOM FINANCIAL LLC,ACQUIOM FINANCIAL LLC,Approved,03/25/2015,Small,Limited Liability Company,Colorado,10/04/2013,720-279-0964,1,2,1,0,950 17TH STREET,DENVER,CO,80202,,,,ACQUIOM FINANCIAL LLC,1.0,3,2026-04-02T01:57:06.587916
326494,71130,"ACRISURE RE CORPORATE ADVISORY & SOLUTIONS, LLC","ACRISURE RE CORPORATE ADVISORY & SOLUTIONS LLC|ACRISURE RE CORPORATE ADVISORY & SOLUTIONS, LLC",Approved,07/02/2024,Small,Limited Liability Company,Michigan,11/16/2022,347 439 8690,1,3,1,0,1 LIBERTY PLAZA,NEW YORK,NY,10006,UNITED STATES,,,"ACRISURE RE CORPORATE ADVISORY & SOLUTIONS, LLC",1.0,3,2026-04-02T02:00:30.642601
17972,36005,"ACS EXECUTION SERVICES, LLC","ACS EXECUTION SERVICES, LLC|SOLOWEY & CO.",Approved,07/29/1986,Small,Limited Liability Company,Delaware,11/13/2015,732-204-8999,1,2,7,3,12 BROAD STREET,RED BANK,NJ,07701,UNITED STATES,,,"ACS EXECUTION SERVICES, LLC",1.0,3,2026-04-02T01:48:17.323608
309048,70519,ADELPHI STOCK BROKERS,ADELPHI STOCK BROKERS|ADELPHI STOCK BROKERS INC.,Approved,10/13/2021,Small,Corporation,Delaware,01/24/2020,646-479-1146,1,3,1,0,40 CORNWALL LANE,SANDS POINT,NY,11050,UNITED STATES,,,ADELPHI STOCK BROKERS,1.0,3,2026-04-02T01:59:12.024602
37693,47885,"ADP BROKER-DEALER, INC.","ADP BROKER-DEALER, INC.",Approved,03/29/1995,Large,Corporation,New Jersey,07/12/1994,973-712-2316,1,11,1,0,ONE ADP BOULEVARD,ROSELAND,NJ,07068-1786,UNITED STATES,,,"ADP BROKER-DEALER, INC.",1.0,3,2026-04-02T01:50:04.159153
140393,67313,"ADVANCED ADVISOR GROUP, LLC","ADVANCED ADVISOR GROUP, LLC|EFS ADVISORS, LLC|EFS ADVISORS",Approved,10/04/2006,Small,Limited Liability Company,Minnesota,09/29/2005,763-689-9023,1,30,1,0,1995 EAST RUM RIVER DRIVE S.,CAMBRIDGE,MN,55008,,,,"ADVANCED ADVISOR GROUP, LLC",1.0,3,2026-04-02T01:54:19.136897
